full_date,date,weekday,time,mood,activities,note
9/04/2020,9-Apr,Thursday,7:54,meh,,
8/04/2020,8-Apr,Wednesday,21:04,meh,dislike work,
8/04/2020,8-Apr,Wednesday,7:19,good,neutral work,
7/04/2020,7-Apr,Tuesday,21:25,meh,dislike work,
7/04/2020,7-Apr,Tuesday,7:09,good,,
6/04/2020,6-Apr,Monday,21:00,good,,
6/04/2020,6-Apr,Monday,7:06,good,learning | procrastinating | neutral work,
5/04/2020,5-Apr,Sunday,22:28,good,,
5/04/2020,5-Apr,Sunday,7:55,good,,
4/04/2020,4-Apr,Saturday,22:55,good,learning | cooking | neutral work | scared,
4/04/2020,4-Apr,Saturday,7:13,good,,
3/04/2020,3-Apr,Friday,22:39,good,reading | procrastinating | sex | neutral work,
3/04/2020,3-Apr,Friday,7:24,meh,neutral work,
2/04/2020,2-Apr,Thursday,21:38,good,reading | learning | read news | neutral work,
2/04/2020,2-Apr,Thursday,7:23,meh,read news | dislike work,
1/04/2020,1-Apr,Wednesday,22:33,good,work | reading | learning | procrastinating | read news | neutral work,
1/04/2020,1-Apr,Wednesday,8:02,good,,
31/03/2020,31-Mar,Tuesday,21:57,good,relax | reading | gaming | procrastinating | neutral work | scared,
31/03/2020,31-Mar,Tuesday,7:10,meh,neutral work,sad about pandemic
30/03/2020,30-Mar,Monday,21:05,good,neutral work | scared,
30/03/2020,30-Mar,Monday,7:05,meh,dislike work,
29/03/2020,29-Mar,Sunday,22:04,meh,,
29/03/2020,29-Mar,Sunday,7:19,meh,dislike work | scared,
28/03/2020,28-Mar,Saturday,8:13,good,sex | dislike work,
27/03/2020,27-Mar,Friday,21:07,good,friends | dislike work | scared,
27/03/2020,27-Mar,Friday,7:22,meh,dislike work | scared,
26/03/2020,26-Mar,Thursday,21:12,bad,dislike work | scared,
26/03/2020,26-Mar,Thursday,7:07,meh,neutral work | scared,
25/03/2020,25-Mar,Wednesday,21:15,meh,neutral work,
25/03/2020,25-Mar,Wednesday,7:21,good,neutral work,
24/03/2020,24-Mar,Tuesday,21:09,good,like work,
24/03/2020,24-Mar,Tuesday,7:13,bad,neutral work,
23/03/2020,23-Mar,Monday,22:28,meh,,
23/03/2020,23-Mar,Monday,7:11,meh,neutral work,
22/03/2020,22-Mar,Sunday,21:28,good,neutral work,
22/03/2020,22-Mar,Sunday,7:55,meh,,
21/03/2020,21-Mar,Saturday,23:06,meh,,
21/03/2020,21-Mar,Saturday,7:05,good,,
20/03/2020,20-Mar,Friday,21:02,rad,neutral work,
20/03/2020,20-Mar,Friday,7:05,good,,
19/03/2020,19-Mar,Thursday,21:55,good,work | dislike work,
19/03/2020,19-Mar,Thursday,7:25,good,neutral work,
18/03/2020,18-Mar,Wednesday,22:10,good,sick | neutral work,
18/03/2020,18-Mar,Wednesday,7:05,good,sick | neutral work,
17/03/2020,17-Mar,Tuesday,21:50,meh,reading | gaming | procrastinating | sick | coffee | neutral work,
17/03/2020,17-Mar,Tuesday,7:18,good,sick | neutral work,
16/03/2020,16-Mar,Monday,22:13,good,sick | neutral work,
16/03/2020,16-Mar,Monday,7:19,meh,neutral work,
15/03/2020,15-Mar,Sunday,21:01,good,neutral work,
15/03/2020,15-Mar,Sunday,7:42,good,,
14/03/2020,14-Mar,Saturday,22:10,good,,
14/03/2020,14-Mar,Saturday,8:51,good,like work,
13/03/2020,13-Mar,Friday,7:22,good,neutral work,
12/03/2020,12-Mar,Thursday,21:47,good,neutral work,
12/03/2020,12-Mar,Thursday,7:05,good,dislike work,
11/03/2020,11-Mar,Wednesday,21:28,good,procrastinating | sex | sick | herpes | read news | dislike work,
11/03/2020,11-Mar,Wednesday,7:08,meh,dislike work,
10/03/2020,10-Mar,Tuesday,22:43,meh,dislike work,
10/03/2020,10-Mar,Tuesday,7:27,good,dislike work,
9/03/2020,9-Mar,Monday,7:19,good,neutral work,
8/03/2020,8-Mar,Sunday,22:34,good,neutral work,
8/03/2020,8-Mar,Sunday,8:09,good,,
7/03/2020,7-Mar,Saturday,21:02,good,neutral work,
7/03/2020,7-Mar,Saturday,7:53,good,neutral work,
6/03/2020,6-Mar,Friday,21:03,good,neutral work,
6/03/2020,6-Mar,Friday,7:13,good,dislike work,
5/03/2020,5-Mar,Thursday,21:20,meh,dislike work,
5/03/2020,5-Mar,Thursday,7:53,meh,neutral work,
4/03/2020,4-Mar,Wednesday,21:15,good,neutral work,
4/03/2020,4-Mar,Wednesday,7:40,good,neutral work,
3/03/2020,3-Mar,Tuesday,21:00,meh,dislike work,
3/03/2020,3-Mar,Tuesday,11:53,good,neutral work,
2/03/2020,2-Mar,Monday,21:00,rad,,
2/03/2020,2-Mar,Monday,7:28,good,neutral work,
1/03/2020,1-Mar,Sunday,21:37,rad,neutral work,
1/03/2020,1-Mar,Sunday,7:33,rad,neutral work,
29/02/2020,29-Feb,Saturday,21:18,rad,,
29/02/2020,29-Feb,Saturday,8:30,rad,like work,
28/02/2020,28-Feb,Friday,22:17,rad,like work,
28/02/2020,28-Feb,Friday,7:25,good,neutral work,
27/02/2020,27-Feb,Thursday,22:25,good,like work,
27/02/2020,27-Feb,Thursday,7:15,good,neutral work,
26/02/2020,26-Feb,Wednesday,21:25,good,neutral work,
26/02/2020,26-Feb,Wednesday,7:31,good,neutral work,
25/02/2020,25-Feb,Tuesday,22:18,good,neutral work,
25/02/2020,25-Feb,Tuesday,7:07,good,neutral work,
24/02/2020,24-Feb,Monday,21:52,meh,sick | neutral work,
24/02/2020,24-Feb,Monday,7:15,good,neutral work,
23/02/2020,23-Feb,Sunday,22:18,good,neutral work,
23/02/2020,23-Feb,Sunday,8:01,good,,
22/02/2020,22-Feb,Saturday,22:03,rad,neutral work,
22/02/2020,22-Feb,Saturday,8:27,rad,,
21/02/2020,21-Feb,Friday,21:52,rad,like work,
21/02/2020,21-Feb,Friday,7:28,good,neutral work,
20/02/2020,20-Feb,Thursday,22:20,meh,like work,
20/02/2020,20-Feb,Thursday,7:16,good,neutral work,
19/02/2020,19-Feb,Wednesday,21:00,good,neutral work,
19/02/2020,19-Feb,Wednesday,7:17,meh,dislike work,
18/02/2020,18-Feb,Tuesday,21:02,good,dislike work,
18/02/2020,18-Feb,Tuesday,7:05,good,neutral work,
17/02/2020,17-Feb,Monday,21:02,good,neutral work,
17/02/2020,17-Feb,Monday,7:59,meh,dislike work,
16/02/2020,16-Feb,Sunday,22:04,good,neutral work,
16/02/2020,16-Feb,Sunday,7:15,good,,
15/02/2020,15-Feb,Saturday,22:41,good,neutral work,
15/02/2020,15-Feb,Saturday,7:10,rad,,
14/02/2020,14-Feb,Friday,21:00,good,,
14/02/2020,14-Feb,Friday,7:05,good,neutral work,
13/02/2020,13-Feb,Thursday,21:00,good,neutral work,
13/02/2020,13-Feb,Thursday,7:05,good,neutral work,
12/02/2020,12-Feb,Wednesday,21:05,rad,neutral work,
12/02/2020,12-Feb,Wednesday,7:05,good,neutral work,
11/02/2020,11-Feb,Tuesday,21:14,rad,neutral work,
11/02/2020,11-Feb,Tuesday,7:27,good,neutral work,
10/02/2020,10-Feb,Monday,23:03,rad,neutral work,
10/02/2020,10-Feb,Monday,7:32,good,neutral work,
9/02/2020,9-Feb,Sunday,21:45,good,dislike work,
9/02/2020,9-Feb,Sunday,8:11,rad,neutral work,
8/02/2020,8-Feb,Saturday,21:03,good,neutral work,
8/02/2020,8-Feb,Saturday,7:05,rad,dislike work,
7/02/2020,7-Feb,Friday,22:16,good,dislike work,
7/02/2020,7-Feb,Friday,7:43,good,neutral work,
6/02/2020,6-Feb,Thursday,22:24,good,neutral work,
6/02/2020,6-Feb,Thursday,7:12,meh,dislike work,
5/02/2020,5-Feb,Wednesday,21:00,meh,dislike work,
5/02/2020,5-Feb,Wednesday,7:12,good,neutral work,
4/02/2020,4-Feb,Tuesday,21:00,good,neutral work,
4/02/2020,4-Feb,Tuesday,7:08,good,neutral work,
3/02/2020,3-Feb,Monday,21:35,good,neutral work,
3/02/2020,3-Feb,Monday,7:20,good,neutral work,
2/02/2020,2-Feb,Sunday,22:04,meh,dislike work,
1/02/2020,1-Feb,Saturday,22:03,good,neutral work,
1/02/2020,1-Feb,Saturday,7:13,good,neutral work,
31/01/2020,31-Jan,Friday,21:02,good,neutral work,
31/01/2020,31-Jan,Friday,7:12,good,like work,
30/01/2020,30-Jan,Thursday,21:16,meh,neutral work,
30/01/2020,30-Jan,Thursday,7:40,good,neutral work,
29/01/2020,29-Jan,Wednesday,21:05,good,neutral work,
29/01/2020,29-Jan,Wednesday,7:41,good,work | coffee | like work,
28/01/2020,28-Jan,Tuesday,22:42,good,like work,
28/01/2020,28-Jan,Tuesday,7:05,rad,like work,
27/01/2020,27-Jan,Monday,22:03,rad,like work,
27/01/2020,27-Jan,Monday,9:31,good,neutral work,
26/01/2020,26-Jan,Sunday,21:02,meh,neutral work,
26/01/2020,26-Jan,Sunday,7:24,good,neutral work,
25/01/2020,25-Jan,Saturday,21:39,rad,dislike work,
25/01/2020,25-Jan,Saturday,7:56,good,neutral work,
24/01/2020,24-Jan,Friday,21:02,rad,neutral work,
24/01/2020,24-Jan,Friday,7:23,good,dislike work,
23/01/2020,23-Jan,Thursday,21:00,good,neutral work,
23/01/2020,23-Jan,Thursday,20:23,good,neutral work,
23/01/2020,23-Jan,Thursday,12:16,meh,dislike work,
23/01/2020,23-Jan,Thursday,7:17,good,,
22/01/2020,22-Jan,Wednesday,21:00,good,,
22/01/2020,22-Jan,Wednesday,7:07,rad,,
21/01/2020,21-Jan,Tuesday,22:26,good,,
21/01/2020,21-Jan,Tuesday,7:12,good,,
20/01/2020,20-Jan,Monday,21:02,good,,
20/01/2020,20-Jan,Monday,8:09,good,,
19/01/2020,19-Jan,Sunday,22:36,good,,
19/01/2020,19-Jan,Sunday,7:07,rad,,
18/01/2020,18-Jan,Saturday,23:48,good,,
18/01/2020,18-Jan,Saturday,9:17,rad,,
17/01/2020,17-Jan,Friday,21:22,rad,,
17/01/2020,17-Jan,Friday,7:07,good,,
16/01/2020,16-Jan,Thursday,22:32,good,,
16/01/2020,16-Jan,Thursday,8:56,rad,,
15/01/2020,15-Jan,Wednesday,21:16,good,,
15/01/2020,15-Jan,Wednesday,7:07,good,,
14/01/2020,14-Jan,Tuesday,21:05,rad,,
14/01/2020,14-Jan,Tuesday,7:17,good,,
13/01/2020,13-Jan,Monday,21:43,good,,
13/01/2020,13-Jan,Monday,7:11,meh,,
12/01/2020,12-Jan,Sunday,21:21,good,,
12/01/2020,12-Jan,Sunday,7:54,meh,,
11/01/2020,11-Jan,Saturday,22:06,good,,
11/01/2020,11-Jan,Saturday,7:27,good,,
10/01/2020,10-Jan,Friday,21:00,good,,
10/01/2020,10-Jan,Friday,7:05,good,,
9/01/2020,9-Jan,Thursday,21:02,good,,
9/01/2020,9-Jan,Thursday,7:13,meh,,
8/01/2020,8-Jan,Wednesday,21:15,meh,,
8/01/2020,8-Jan,Wednesday,7:09,meh,,
7/01/2020,7-Jan,Tuesday,22:39,meh,,
7/01/2020,7-Jan,Tuesday,8:08,good,,
6/01/2020,6-Jan,Monday,21:09,meh,,
5/01/2020,5-Jan,Sunday,21:04,meh,,
5/01/2020,5-Jan,Sunday,7:05,meh,,
4/01/2020,4-Jan,Saturday,21:44,good,,
4/01/2020,4-Jan,Saturday,7:05,good,,
3/01/2020,3-Jan,Friday,21:15,good,,
3/01/2020,3-Jan,Friday,7:05,good,,
2/01/2020,2-Jan,Thursday,21:00,good,,
2/01/2020,2-Jan,Thursday,7:30,rad,,
1/01/2020,1-Jan,Wednesday,21:00,good,,
1/01/2020,1-Jan,Wednesday,7:08,meh,,
31/12/2019,31-Dec,Tuesday,21:00,rad,,
31/12/2019,31-Dec,Tuesday,8:05,good,,
30/12/2019,30-Dec,Monday,21:01,rad,,
30/12/2019,30-Dec,Monday,8:10,good,,
29/12/2019,29-Dec,Sunday,22:27,rad,,
29/12/2019,29-Dec,Sunday,7:05,good,,
28/12/2019,28-Dec,Saturday,21:06,rad,,
28/12/2019,28-Dec,Saturday,7:54,good,,
27/12/2019,27-Dec,Friday,21:18,rad,,
27/12/2019,27-Dec,Friday,8:24,rad,,
26/12/2019,26-Dec,Thursday,23:20,rad,,
26/12/2019,26-Dec,Thursday,8:37,good,,
25/12/2019,25-Dec,Wednesday,21:32,rad,,
25/12/2019,25-Dec,Wednesday,8:17,good,,
24/12/2019,24-Dec,Tuesday,21:01,good,,
24/12/2019,24-Dec,Tuesday,9:10,good,,
23/12/2019,23-Dec,Monday,21:15,rad,,
23/12/2019,23-Dec,Monday,7:52,good,,
22/12/2019,22-Dec,Sunday,21:01,rad,,
22/12/2019,22-Dec,Sunday,7:06,rad,,
21/12/2019,21-Dec,Saturday,21:05,good,,
21/12/2019,21-Dec,Saturday,8:45,meh,,
20/12/2019,20-Dec,Friday,7:52,good,,
19/12/2019,19-Dec,Thursday,21:01,good,,
19/12/2019,19-Dec,Thursday,12:01,bad,,stress over workers comp
19/12/2019,19-Dec,Thursday,8:45,good,,
18/12/2019,18-Dec,Wednesday,21:00,good,,
17/12/2019,17-Dec,Tuesday,21:17,rad,,
17/12/2019,17-Dec,Tuesday,8:07,rad,,
16/12/2019,16-Dec,Monday,21:04,rad,,
16/12/2019,16-Dec,Monday,7:28,rad,,
15/12/2019,15-Dec,Sunday,7:42,meh,,
15/12/2019,15-Dec,Sunday,2:03,awful,,
14/12/2019,14-Dec,Saturday,7:08,good,,
13/12/2019,13-Dec,Friday,21:09,rad,,
13/12/2019,13-Dec,Friday,7:05,meh,,
12/12/2019,12-Dec,Thursday,21:03,good,,
12/12/2019,12-Dec,Thursday,7:11,good,,
11/12/2019,11-Dec,Wednesday,21:04,good,,
11/12/2019,11-Dec,Wednesday,7:27,meh,,
10/12/2019,10-Dec,Tuesday,21:00,good,,
10/12/2019,10-Dec,Tuesday,7:31,good,,
9/12/2019,9-Dec,Monday,21:26,good,,
9/12/2019,9-Dec,Monday,7:08,good,,
8/12/2019,8-Dec,Sunday,21:11,good,,
8/12/2019,8-Dec,Sunday,7:06,meh,,
7/12/2019,7-Dec,Saturday,21:02,good,,
7/12/2019,7-Dec,Saturday,7:05,meh,,
6/12/2019,6-Dec,Friday,21:05,good,,
6/12/2019,6-Dec,Friday,7:51,bad,,
5/12/2019,5-Dec,Thursday,21:20,good,,
5/12/2019,5-Dec,Thursday,9:28,good,work | sick,
23/11/2019,23-Nov,Saturday,21:00,good,,
23/11/2019,23-Nov,Saturday,8:00,good,,
22/11/2019,22-Nov,Friday,21:12,good,,
22/11/2019,22-Nov,Friday,10:50,meh,,
21/11/2019,21-Nov,Thursday,21:45,meh,,
21/11/2019,21-Nov,Thursday,8:13,good,,
20/11/2019,20-Nov,Wednesday,21:00,good,,
20/11/2019,20-Nov,Wednesday,8:00,good,,
19/11/2019,19-Nov,Tuesday,21:00,meh,,
19/11/2019,19-Nov,Tuesday,8:47,bad,,
18/11/2019,18-Nov,Monday,21:17,good,,
18/11/2019,18-Nov,Monday,8:06,good,,
17/11/2019,17-Nov,Sunday,21:52,good,,
17/11/2019,17-Nov,Sunday,8:00,good,,
16/11/2019,16-Nov,Saturday,21:00,rad,,
16/11/2019,16-Nov,Saturday,8:00,good,,
15/11/2019,15-Nov,Friday,8:22,good,,
14/11/2019,14-Nov,Thursday,21:55,good,,
14/11/2019,14-Nov,Thursday,9:12,good,,
13/11/2019,13-Nov,Wednesday,21:00,good,,
13/11/2019,13-Nov,Wednesday,8:00,good,,
12/11/2019,12-Nov,Tuesday,21:00,meh,,
11/11/2019,11-Nov,Monday,8:11,good,,
10/11/2019,10-Nov,Sunday,21:04,meh,,
10/11/2019,10-Nov,Sunday,8:44,meh,,
9/11/2019,9-Nov,Saturday,21:00,meh,,
9/11/2019,9-Nov,Saturday,9:07,good,,
8/11/2019,8-Nov,Friday,21:00,good,,
8/11/2019,8-Nov,Friday,8:00,awful,,
7/11/2019,7-Nov,Thursday,21:04,rad,,
7/11/2019,7-Nov,Thursday,8:18,good,,
6/11/2019,6-Nov,Wednesday,21:11,meh,,
6/11/2019,6-Nov,Wednesday,8:13,good,,
5/11/2019,5-Nov,Tuesday,21:46,bad,,
5/11/2019,5-Nov,Tuesday,8:03,bad,,
4/11/2019,4-Nov,Monday,21:37,rad,,
4/11/2019,4-Nov,Monday,9:44,meh,,
3/11/2019,3-Nov,Sunday,21:00,good,,
3/11/2019,3-Nov,Sunday,8:14,good,,
2/11/2019,2-Nov,Saturday,21:00,meh,,
2/11/2019,2-Nov,Saturday,8:02,rad,sex,
1/11/2019,1-Nov,Friday,21:02,good,,
1/11/2019,1-Nov,Friday,8:21,good,,
31/10/2019,31-Oct,Thursday,22:08,good,,
31/10/2019,31-Oct,Thursday,8:36,good,,
30/10/2019,30-Oct,Wednesday,21:37,good,,
30/10/2019,30-Oct,Wednesday,8:00,good,,
29/10/2019,29-Oct,Tuesday,21:55,good,,
29/10/2019,29-Oct,Tuesday,9:09,good,,
28/10/2019,28-Oct,Monday,21:32,good,,
28/10/2019,28-Oct,Monday,8:55,good,,
27/10/2019,27-Oct,Sunday,21:43,good,,
27/10/2019,27-Oct,Sunday,8:04,good,,
26/10/2019,26-Oct,Saturday,22:00,good,,
26/10/2019,26-Oct,Saturday,8:07,rad,sex,
25/10/2019,25-Oct,Friday,22:26,rad,,
24/10/2019,24-Oct,Thursday,21:00,good,,
24/10/2019,24-Oct,Thursday,8:00,good,,
23/10/2019,23-Oct,Wednesday,21:00,good,,
23/10/2019,23-Oct,Wednesday,8:06,good,,
22/10/2019,22-Oct,Tuesday,22:21,good,,
22/10/2019,22-Oct,Tuesday,11:31,good,,
21/10/2019,21-Oct,Monday,21:00,meh,,
21/10/2019,21-Oct,Monday,8:15,good,,
20/10/2019,20-Oct,Sunday,21:00,good,,
20/10/2019,20-Oct,Sunday,8:55,good,,
19/10/2019,19-Oct,Saturday,21:08,meh,,
19/10/2019,19-Oct,Saturday,8:50,good,relax | reading | learning | procrastinating | sex,
18/10/2019,18-Oct,Friday,21:00,good,,
18/10/2019,18-Oct,Friday,8:15,good,,
17/10/2019,17-Oct,Thursday,23:33,good,,
17/10/2019,17-Oct,Thursday,12:10,good,work,
16/10/2019,16-Oct,Wednesday,21:28,good,relax | friends | reading | gaming | learning | coffee,
16/10/2019,16-Oct,Wednesday,8:01,good,,
15/10/2019,15-Oct,Tuesday,21:00,rad,friends | reading | gaming | learning,
15/10/2019,15-Oct,Tuesday,8:00,good,,
14/10/2019,14-Oct,Monday,21:01,good,friends | gaming | learning | drawing,
14/10/2019,14-Oct,Monday,8:00,good,,
13/10/2019,13-Oct,Sunday,21:00,rad,relax | friends | reading | gaming | good meal,
13/10/2019,13-Oct,Sunday,8:09,rad,reading | sleeping,
20/05/2019,20-May,Monday,8:23,meh,work | procrastinating | read news | coffee,ate badly and drank last night
19/05/2019,19-May,Sunday,21:02,meh,work | friends | reading | gaming | cleaning | procrastinating | programming | read news | coffee,
19/05/2019,19-May,Sunday,9:12,good,,
18/05/2019,18-May,Saturday,21:00,good,relax | friends | reading | gaming | learning | programming | coffee,
18/05/2019,18-May,Saturday,9:20,good,relax | gaming,voted
17/05/2019,17-May,Friday,21:46,good,work | relax | reading | gaming | good meal | cleaning | procrastinating | cycling | cooking | read news | coffee,
17/05/2019,17-May,Friday,8:34,good,reading | procrastinating | cycling | read news | coffee,
16/05/2019,16-May,Thursday,22:06,good,work | friends | running | learning | programming | coffee,
16/05/2019,16-May,Thursday,9:36,rad,work | running | reading | coffee,"runners high, good muffin, optimistic"
15/05/2019,15-May,Wednesday,22:21,good,work | friends | reading | good meal | bus | coffee,tired
15/05/2019,15-May,Wednesday,8:01,good,procrastinating | coffee,
14/05/2019,14-May,Tuesday,22:38,good,work | relax | running | reading | procrastinating | sex | read news | coffee,
14/05/2019,14-May,Tuesday,8:15,good,relax | good meal | procrastinating | coffee,almond milk coffee is good. figuring out solutions to work problem
13/05/2019,13-May,Monday,21:00,good,,
13/05/2019,13-May,Monday,8:25,good,,
12/05/2019,12-May,Sunday,21:51,good,relax,
12/05/2019,12-May,Sunday,16:53,rad,friends | running | gaming | procrastinating | read news | drawing,"was sad, but run made me feel good again"
12/05/2019,12-May,Sunday,8:23,meh,,
